,Reward,Reward,Reward,Reward,Steps,Steps,Steps,Steps,AvgLoss,AvgLoss,AvgLoss,AvgLoss,FruitPerStep
,mean,median,max,min,mean,median,max,min,mean,median,max,min,mean
Penalty,,,,,,,,,,,,,
-0.01,12.72140974514808,9.599990844726562,97.08006286621094,-221.77288818359372,124.81330282002067,80.0,21182,4,0.00295775917781611,0.00254250739542935,0.0441768368085225,3.626461712726225e-06,0.06048437651288183
-0.05,12.706448989755334,12.000007629394531,91.64979553222656,-1157.2437744140625,113.13683593221359,71.0,22947,4,0.0038508061020269134,0.0037128003884334,0.0419005304574966,5.164326191796951e-06,0.07486947580902048
None,17.076084709218183,15.0,95.0,-10.0,127.83539592994063,84.0,19510,4,0.0034599647069410945,0.0032271939668899498,0.0437458828091621,5.0353827598308656e-06,0.06472052585463048
